Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0095327,5/15/2026,5/15/2026,,Grave of the Fireflies,Hotaru no haka,https://www.imdb.com/title/tt0095327/,Movie,8.5,88,1988,"Animation, Drama, War",388824,7/26/1989,Isao Takahata,,
2,tt1360860,5/15/2026,5/15/2026,,About Elly,Darbareye Elly,https://www.imdb.com/title/tt1360860/,Movie,7.9,119,2009,"Drama, Mystery",61223,6/6/2009,Asghar Farhadi,,
3,tt1832382,5/15/2026,5/15/2026,,A Separation,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,Movie,8.3,123,2011,Drama,278559,3/16/2011,Asghar Farhadi,,
5,tt10272386,5/15/2026,5/15/2026,,The Father,The Father,https://www.imdb.com/title/tt10272386/,Movie,8.2,97,2020,"Drama, Mystery",246554,2/26/2021,Florian Zeller,,
6,tt0058461,5/15/2026,5/15/2026,,A Fistful of Dollars,Per un pugno di dollari,https://www.imdb.com/title/tt0058461/,Movie,7.9,99,1964,"Drama, Western",254407,1/18/1967,Sergio Leone,,
7,tt0108052,5/15/2026,5/15/2026,,Schindler's List,Schindler's List,https://www.imdb.com/title/tt0108052/,Movie,9,195,1993,"Biography, Drama, History",1589557,2/4/1994,Steven Spielberg,,
8,tt0106489,5/15/2026,5/15/2026,,A Bronx Tale,A Bronx Tale,https://www.imdb.com/title/tt0106489/,Movie,7.8,121,1993,"Crime, Drama",186782,10/1/1993,Robert De Niro,,
9,tt0060196,5/15/2026,5/15/2026,,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,Movie,8.8,178,1966,"Adventure, Drama, Western",892837,12/29/1967,Sergio Leone,,
10,tt0140352,5/15/2026,5/15/2026,,The Insider,The Insider,https://www.imdb.com/title/tt0140352/,Movie,7.8,157,1999,"Biography, Drama, History, Thriller",192063,11/5/1999,Michael Mann,,
11,tt0105695,5/15/2026,5/15/2026,,Unforgiven,Unforgiven,https://www.imdb.com/title/tt0105695/,Movie,8.2,130,1992,"Drama, Western",469294,8/7/1992,Clint Eastwood,,
12,tt5323662,5/15/2026,5/15/2026,,A Silent Voice: The Movie,Koe no katachi,https://www.imdb.com/title/tt5323662/,Movie,8.2,130,2016,"Animation, Drama",144765,9/17/2016,Naoko Yamada,,
13,tt2582802,5/15/2026,5/15/2026,,Whiplash,Whiplash,https://www.imdb.com/title/tt2582802/,Movie,8.5,106,2014,"Drama, Music",1162734,10/15/2014,Damien Chazelle,,
14,tt1602620,5/15/2026,5/15/2026,,Amour,Amour,https://www.imdb.com/title/tt1602620/,Movie,7.9,127,2012,Drama,110832,9/20/2012,Michael Haneke,,
15,tt0209144,5/15/2026,5/15/2026,,Memento,Memento,https://www.imdb.com/title/tt0209144/,Movie,8.4,113,2000,"Mystery, Thriller",1439766,5/25/2001,Christopher Nolan,7,5/19/2023
16,tt0059578,5/15/2026,5/15/2026,,For a Few Dollars More,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,Movie,8.2,132,1965,"Drama, Western",301022,5/10/1967,Sergio Leone,,
17,tt0278504,5/15/2026,5/15/2026,,Insomnia,Insomnia,https://www.imdb.com/title/tt0278504/,Movie,7.2,118,2002,"Drama, Mystery, Thriller",344338,5/24/2002,Christopher Nolan,,
18,tt0081398,5/15/2026,5/15/2026,,Raging Bull,Raging Bull,https://www.imdb.com/title/tt0081398/,Movie,8.1,129,1980,"Biography, Drama, Sport",411051,12/19/1980,Martin Scorsese,,
19,tt0090756,5/15/2026,5/15/2026,,Blue Velvet,Blue Velvet,https://www.imdb.com/title/tt0090756/,Movie,7.7,120,1986,"Crime, Drama, Mystery, Thriller",246502,10/23/1986,David Lynch,,
20,tt0080678,5/15/2026,5/15/2026,,The Elephant Man,The Elephant Man,https://www.imdb.com/title/tt0080678/,Movie,8.2,124,1980,"Biography, Drama",282111,10/10/1980,David Lynch,,
21,tt0498380,5/15/2026,5/15/2026,,Letters from Iwo Jima,Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/,Movie,7.8,141,2006,"Action, Adventure, Drama, History, War",177407,2/2/2007,Clint Eastwood,,
22,tt0074958,5/15/2026,5/15/2026,,Network,Network,https://www.imdb.com/title/tt0074958/,Movie,8.1,121,1976,Drama,186241,11/27/1976,Sidney Lumet,,
23,tt0088680,5/15/2026,5/15/2026,,After Hours,After Hours,https://www.imdb.com/title/tt0088680/,Movie,7.6,97,1985,"Comedy, Crime, Drama, Thriller",98841,10/11/1985,Martin Scorsese,,
24,tt8267604,5/15/2026,5/15/2026,,Capernaum,Capharnaüm,https://www.imdb.com/title/tt8267604/,Movie,8.4,126,2018,Drama,125119,9/20/2018,Nadine Labaki,,
25,tt0091474,5/15/2026,5/15/2026,,Manhunter,Manhunter,https://www.imdb.com/title/tt0091474/,Movie,7.2,120,1986,"Crime, Mystery, Thriller",92090,8/15/1986,Michael Mann,,
26,tt0081283,5/15/2026,5/15/2026,,Ordinary People,Ordinary People,https://www.imdb.com/title/tt0081283/,Movie,7.7,124,1980,Drama,62153,9/19/1980,Robert Redford,,
27,tt5362988,5/15/2026,5/15/2026,,Wind River,Wind River,https://www.imdb.com/title/tt5362988/,Movie,7.7,107,2017,"Crime, Drama, Mystery, Thriller, Western",316834,8/18/2017,Taylor Sheridan,,
28,tt0102138,5/15/2026,5/15/2026,,JFK,JFK,https://www.imdb.com/title/tt0102138/,Movie,8,189,1991,"Drama, History, Thriller",182300,12/20/1991,Oliver Stone,,
29,tt0084787,5/15/2026,5/15/2026,,The Thing,The Thing,https://www.imdb.com/title/tt0084787/,Movie,8.2,109,1982,"Horror, Mystery, Sci-Fi",528551,6/25/1982,John Carpenter,,
30,tt0120586,5/15/2026,5/15/2026,,American History X,American History X,https://www.imdb.com/title/tt0120586/,Movie,8.5,119,1998,"Crime, Drama",1276818,11/20/1998,Tony Kaye,,
31,tt1189340,5/15/2026,5/15/2026,,The Lincoln Lawyer,The Lincoln Lawyer,https://www.imdb.com/title/tt1189340/,Movie,7.3,118,2011,"Crime, Drama, Mystery, Thriller",271040,3/18/2011,Brad Furman,,
32,tt0490215,5/15/2026,5/15/2026,,Silence,Silence,https://www.imdb.com/title/tt0490215/,Movie,7.2,161,2016,"Drama, History",134793,1/13/2017,Martin Scorsese,,
33,tt0094226,5/15/2026,5/15/2026,,The Untouchables,The Untouchables,https://www.imdb.com/title/tt0094226/,Movie,7.8,119,1987,"Crime, Drama, Thriller",354312,6/3/1987,Brian De Palma,,
34,tt0154506,5/15/2026,5/15/2026,,Following,Following,https://www.imdb.com/title/tt0154506/,Movie,7.4,69,1998,"Crime, Mystery, Thriller",111061,11/5/1999,Christopher Nolan,,
35,tt0119177,5/15/2026,5/15/2026,,Gattaca,Gattaca,https://www.imdb.com/title/tt0119177/,Movie,7.7,106,1997,"Drama, Sci-Fi, Thriller",348369,10/24/1997,Andrew Niccol,,
36,tt0118799,5/15/2026,5/15/2026,,Life Is Beautiful,La vita è bella,https://www.imdb.com/title/tt0118799/,Movie,8.6,116,1997,"Comedy, Drama, Romance, War",815479,12/20/1997,Roberto Benigni,,
37,tt0180093,5/15/2026,5/15/2026,,Requiem for a Dream,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,Movie,8.3,102,2000,Drama,976894,12/15/2000,Darren Aronofsky,,
38,tt0408306,5/15/2026,5/15/2026,,Munich,Munich,https://www.imdb.com/title/tt0408306/,Movie,7.5,164,2005,"Drama, History, Thriller",254298,1/6/2006,Steven Spielberg,,
39,tt1817273,5/15/2026,5/15/2026,,The Place Beyond the Pines,The Place Beyond the Pines,https://www.imdb.com/title/tt1817273/,Movie,7.3,140,2012,"Crime, Drama, Thriller",310659,4/19/2013,Derek Cianfrance,,
40,tt0418689,5/15/2026,5/15/2026,,Flags of Our Fathers,Flags of Our Fathers,https://www.imdb.com/title/tt0418689/,Movie,7.1,135,2006,"Action, Adventure, Drama, History, War",134596,10/20/2006,Clint Eastwood,,
41,tt2713180,5/15/2026,5/15/2026,,Fury,Fury,https://www.imdb.com/title/tt2713180/,Movie,7.6,134,2014,"Action, Drama, War",611746,10/17/2014,David Ayer,,
42,tt4550098,5/15/2026,5/15/2026,,Nocturnal Animals,Nocturnal Animals,https://www.imdb.com/title/tt4550098/,Movie,7.4,116,2016,"Drama, Thriller",340043,12/9/2016,Tom Ford,,
43,tt0898367,5/15/2026,5/15/2026,,The Road,The Road,https://www.imdb.com/title/tt0898367/,Movie,7.2,111,2009,"Drama, Thriller",271853,12/18/2009,John Hillcoat,,
44,tt0164181,5/15/2026,5/15/2026,,Stir of Echoes,Stir of Echoes,https://www.imdb.com/title/tt0164181/,Movie,6.9,99,1999,"Horror, Mystery, Thriller",93100,9/10/1999,David Koepp,,
45,tt0117913,5/15/2026,5/15/2026,,A Time to Kill,A Time to Kill,https://www.imdb.com/title/tt0117913/,Movie,7.5,149,1996,"Crime, Drama, Thriller",208792,7/24/1996,Joel Schumacher,,
46,tt0472043,5/15/2026,5/15/2026,,Apocalypto,Apocalypto,https://www.imdb.com/title/tt0472043/,Movie,7.9,139,2006,"Action, Adventure, Drama, Thriller",360585,12/8/2006,Mel Gibson,,
47,tt5052474,5/15/2026,5/15/2026,,Sicario: Day of the Soldado,Sicario: Day of the Soldado,https://www.imdb.com/title/tt5052474/,Movie,7.1,122,2018,"Action, Crime, Drama, Mystery, Thriller",192633,6/29/2018,Stefano Sollima,,
48,tt1872194,5/15/2026,5/15/2026,,The Judge,The Judge,https://www.imdb.com/title/tt1872194/,Movie,7.4,141,2014,"Crime, Drama, Mystery, Thriller",219824,10/10/2014,David Dobkin,,
49,tt0091251,5/16/2026,5/16/2026,,Come and See,Idi i smotri,https://www.imdb.com/title/tt0091251/,Movie,8.3,142,1985,"Drama, Thriller, War",124130,9/3/1985,Elem Klimov,,
50,tt0058946,5/16/2026,5/16/2026,,The Battle of Algiers,La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,Movie,8.1,121,1966,"Drama, War",76132,9/20/1967,Gillo Pontecorvo,,
51,tt1235166,5/16/2026,5/16/2026,,A Prophet,Un prophète,https://www.imdb.com/title/tt1235166/,Movie,7.8,155,2009,"Crime, Drama",107775,3/26/2010,Jacques Audiard,,
52,tt0117665,5/16/2026,5/16/2026,,Sleepers,Sleepers,https://www.imdb.com/title/tt0117665/,Movie,7.5,147,1996,"Crime, Drama, Thriller",254013,10/18/1996,Barry Levinson,,
53,tt0390384,5/19/2026,5/19/2026,,Primer,Primer,https://www.imdb.com/title/tt0390384/,Movie,6.7,77,2004,"Drama, Sci-Fi, Thriller",122159,5/25/2005,Shane Carruth,,
54,tt0071562,5/23/2026,5/23/2026,,The Godfather Part II,The Godfather Part II,https://www.imdb.com/title/tt0071562/,Movie,9,202,1974,"Crime, Drama",1499098,12/18/1974,Francis Ford Coppola,,
55,tt0047478,5/23/2026,5/23/2026,,Seven Samurai,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,Movie,8.6,207,1954,"Action, Drama",402849,11/19/1956,Akira Kurosawa,,
56,tt0056058,5/23/2026,5/23/2026,,Harakiri,Seppuku,https://www.imdb.com/title/tt0056058/,Movie,8.6,133,1962,"Drama, Mystery",92092,8/4/1964,Masaki Kobayashi,,
57,tt0038650,5/23/2026,5/23/2026,,It's a Wonderful Life,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,Movie,8.6,130,1946,"Drama, Family, Fantasy, Romance",555219,1/7/1947,Frank Capra,,
58,tt0064116,5/23/2026,5/23/2026,,Once Upon a Time in the West,C'era una volta il West,https://www.imdb.com/title/tt0064116/,Movie,8.5,145,1968,"Drama, Western",385138,7/4/1969,Sergio Leone,,
