Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt14230458,2026-05-23,2026-05-23,,"Poor Things","Poor Things",https://www.imdb.com/title/tt14230458/,Movie,7.7,141,2023,"Comedy, Drama, Romance, Sci-Fi",412966,2023-12-22,"Yorgos Lanthimos",,
2,tt15398776,2026-05-23,2026-05-23,,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776/,Movie,8.2,180,2023,"Biography, Drama, History",1054337,2023-07-21,"Christopher Nolan",,
3,tt0190590,2026-05-23,2026-05-23,,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,Movie,7.7,107,2000,"Adventure, Comedy, Crime, Drama, Music",352571,2001-02-02,"Joel Coen, Ethan Coen",,
4,tt0443706,2026-05-23,2026-05-23,,"Zodiac","Zodiac",https://www.imdb.com/title/tt0443706/,Movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",677156,2007-03-02,"David Fincher",,
5,tt0108394,2026-05-23,2026-05-23,,"Three Colors: Blue","Trois couleurs : Bleu",https://www.imdb.com/title/tt0108394/,Movie,7.8,98,1993,"Drama, Music, Mystery, Romance",118237,1993-09-08,"Krzysztof Kieślowski",,
6,tt0095953,2026-05-23,2026-05-23,,"Rain Man","Rain Man",https://www.imdb.com/title/tt0095953/,Movie,8.0,133,1988,"Drama",585885,1988-12-16,"Barry Levinson",,
7,tt0985699,2026-05-23,2026-05-23,,"Valkyrie","Valkyrie",https://www.imdb.com/title/tt0985699/,Movie,7.1,121,2008,"Drama, History, Thriller, War",275510,2008-12-25,"Bryan Singer",,
8,tt0816711,2026-05-23,2026-05-23,,"World War Z","World War Z",https://www.imdb.com/title/tt0816711/,Movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi",786688,2013-06-21,"Marc Forster",,
9,tt0407304,2026-05-23,2026-05-23,,"War of the Worlds","War of the Worlds",https://www.imdb.com/title/tt0407304/,Movie,6.6,117,2005,"Action, Adventure, Sci-Fi",509245,2005-06-29,"Steven Spielberg",,
10,tt0093058,2026-05-23,2026-05-23,,"Full Metal Jacket","Full Metal Jacket",https://www.imdb.com/title/tt0093058/,Movie,8.2,116,1987,"Drama, War",852499,1987-07-10,"Stanley Kubrick",,
11,tt5013056,2026-05-23,2026-05-23,,"Dunkirk","Dunkirk",https://www.imdb.com/title/tt5013056/,Movie,7.8,106,2017,"Action, Drama, History, Thriller, War",810428,2017-07-21,"Christopher Nolan",,
12,tt0401792,2026-05-23,2026-05-23,,"Sin City","Sin City",https://www.imdb.com/title/tt0401792/,Movie,8.0,124,2005,"Crime, Thriller",821535,2005-04-01,"Frank Miller, Robert Rodriguez",,
13,tt0947798,2026-05-23,2026-05-23,,"Black Swan","Black Swan",https://www.imdb.com/title/tt0947798/,Movie,8.0,108,2010,"Drama, Thriller",891601,2010-12-17,"Darren Aronofsky",,
14,tt0165798,2026-05-23,2026-05-23,,"Ghost Dog: The Way of the Samurai","Ghost Dog: The Way of the Samurai",https://www.imdb.com/title/tt0165798/,Movie,7.5,116,1999,"Crime, Drama",103013,2000-03-24,"Jim Jarmusch",,
15,tt0352248,2026-05-23,2026-05-23,,"Cinderella Man","Cinderella Man",https://www.imdb.com/title/tt0352248/,Movie,8.0,144,2005,"Biography, Drama, Romance, Sport",209684,2005-06-03,"Ron Howard",,
16,tt0395169,2026-05-23,2026-05-23,,"Hotel Rwanda","Hotel Rwanda",https://www.imdb.com/title/tt0395169/,Movie,8.1,121,2004,"Biography, Drama, History, War",392795,2005-02-04,"Terry George",,
17,tt0454921,2026-05-23,2026-05-23,,"The Pursuit of Happyness","The Pursuit of Happyness",https://www.imdb.com/title/tt0454921/,Movie,8.0,117,2006,"Biography, Drama",624322,2006-12-15,"Gabriele Muccino",,
18,tt1205489,2026-05-23,2026-05-23,,"Gran Torino","Gran Torino",https://www.imdb.com/title/tt1205489/,Movie,8.1,116,2008,"Drama",864413,2009-01-09,"Clint Eastwood",,
19,tt2084970,2026-05-23,2026-05-23,,"The Imitation Game","The Imitation Game",https://www.imdb.com/title/tt2084970/,Movie,8.0,114,2014,"Biography, Drama, Thriller, War",880073,2014-12-25,"Morten Tyldum",,
20,tt0120735,2026-05-23,2026-05-23,,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,Movie,8.1,107,1998,"Comedy, Crime",650326,1998-08-28,"Guy Ritchie",,
21,tt8503618,2026-05-23,2026-05-23,,"Hamilton","Hamilton",https://www.imdb.com/title/tt8503618/,Movie,8.3,160,2020,"Biography, Drama, History, Musical",140339,2020-07-03,"Thomas Kail",,
22,tt3783958,2026-05-23,2026-05-23,,"La La Land","La La Land",https://www.imdb.com/title/tt3783958/,Movie,8.0,128,2016,"Comedy, Drama, Music, Musical, Romance",767109,2016-12-25,"Damien Chazelle",,
23,tt0208092,2026-05-23,2026-05-23,,"Snatch","Snatch",https://www.imdb.com/title/tt0208092/,Movie,8.2,102,2000,"Comedy, Crime",978558,2001-01-19,"Guy Ritchie",,
24,tt6966692,2026-05-23,2026-05-23,,"Green Book","Green Book",https://www.imdb.com/title/tt6966692/,Movie,8.2,130,2018,"Biography, Comedy, Drama, Music",691620,2018-11-16,"Peter Farrelly",,
25,tt0118715,2026-05-23,2026-05-23,,"The Big Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715/,Movie,8.1,117,1998,"Comedy, Crime",918400,1998-03-06,"Joel Coen, Ethan Coen",,
26,tt0169547,2026-05-23,2026-05-23,,"American Beauty","American Beauty",https://www.imdb.com/title/tt0169547/,Movie,8.3,122,1999,"Drama",1281371,1999-10-01,"Sam Mendes",,
27,tt0137523,2026-05-23,2026-05-23,,"Fight Club","Fight Club",https://www.imdb.com/title/tt0137523/,Movie,8.8,139,1999,"Crime, Drama, Thriller",2621873,1999-10-15,"David Fincher",,
